Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-09-09,Cat Chaser,1989,https://letterboxd.com/danielquinn/film/cat-chaser/,2.5,,,2017-09-08
2017-09-10,King of New York,1990,https://letterboxd.com/danielquinn/film/king-of-new-york/,4,Yes,,2017-09-09
2017-09-11,The Temptress,1926,https://letterboxd.com/danielquinn/film/the-temptress/,3.5,,,2017-09-10
2017-09-11,Body Snatchers,1993,https://letterboxd.com/danielquinn/film/body-snatchers/,2.5,,,2017-09-10
2017-09-13,It,1927,https://letterboxd.com/danielquinn/film/it-1927/,3.5,,,2017-09-12
2017-09-15,Go Go Tales,2007,https://letterboxd.com/danielquinn/film/go-go-tales/,3.5,Yes,,2017-09-14
2017-09-18,When You Read This Letter,1953,https://letterboxd.com/danielquinn/film/when-you-read-this-letter/,3,,,2017-09-17
2017-09-18,The Blackout,1997,https://letterboxd.com/danielquinn/film/the-blackout/,4,Yes,,2017-09-17
2017-09-20,New Rose Hotel,1998,https://letterboxd.com/danielquinn/film/new-rose-hotel/,4,Yes,,2017-09-19
2017-09-22,Mary,2005,https://letterboxd.com/danielquinn/film/mary/,3.5,,,2017-09-21
2017-09-24,Nicky's Film,1971,https://letterboxd.com/danielquinn/film/nickys-film/,1.5,Yes,,2017-09-23
2017-09-24,Chelsea on the Rocks,2008,https://letterboxd.com/danielquinn/film/chelsea-on-the-rocks/,3,,,2017-09-23
2017-09-24,Les Enfants Terribles,1950,https://letterboxd.com/danielquinn/film/les-enfants-terribles/,3,,,2017-09-23
2017-09-25,"Léon Morin, Priest",1961,https://letterboxd.com/danielquinn/film/leon-morin-priest/,3.5,,,2017-09-24
2017-10-03,Kino-week,1918,https://letterboxd.com/danielquinn/film/kino-week/,3,,,2017-10-02
2017-10-03,Kino-Pravda No. 5,1922,https://letterboxd.com/danielquinn/film/kino-pravda-no-5/,2.5,,,2017-10-02
2017-10-03,Kino-Pravda No. 14,1923,https://letterboxd.com/danielquinn/film/kino-pravda-no-14/,3,,,2017-10-02
2017-10-03,Kino-Pravda No. 15,1923,https://letterboxd.com/danielquinn/film/kino-pravda-no-15/,3.5,,,2017-10-02
2017-10-03,Kino-pravda no. 18,1924,https://letterboxd.com/danielquinn/film/kino-pravda-no-18/,3.5,,,2017-10-02
2017-10-05,Thunder Bay,1953,https://letterboxd.com/danielquinn/film/thunder-bay/,2.5,,,2017-10-04
2017-10-06,M,1951,https://letterboxd.com/danielquinn/film/m-1951/,3,,,2017-10-05
2017-10-07,Kino Eye,1924,https://letterboxd.com/danielquinn/film/kino-eye/,4,,,2017-10-06
2017-10-07,The Go-Between,1971,https://letterboxd.com/danielquinn/film/the-go-between-1971/,4,,,2017-10-06
2017-10-08,The Einstein Theory of Relativity,1923,https://letterboxd.com/danielquinn/film/the-einstein-theory-of-relativity/,3,,,2017-10-07
2017-10-09,Forty Hearts,1931,https://letterboxd.com/danielquinn/film/forty-hearts/,3,,,2017-10-08
2017-10-09,Mechanics of the Brain,1926,https://letterboxd.com/danielquinn/film/mechanics-of-the-brain/,1.5,,,2017-10-08
2017-10-10,Kino-pravda no. 21,1925,https://letterboxd.com/danielquinn/film/kino-pravda-no-21/,3.5,,,2017-10-09
2017-10-10,Kino-pravda no. 22: Lenin is Alive in the Heart of the Peasant. A Film Story,1925,https://letterboxd.com/danielquinn/film/kino-pravda-no-22-lenin-is-alive-in-the-heart-of-the-peasant-a-film-story/,3,,,2017-10-09
2017-10-10,Kino-Pravda no. 23,1925,https://letterboxd.com/danielquinn/film/kino-pravda-no-23/,2.5,,,2017-10-09
2017-10-11,Stranger on the Prowl,1952,https://letterboxd.com/danielquinn/film/stranger-on-the-prowl/,3,,,2017-10-10
2017-10-19,The General Line,1929,https://letterboxd.com/danielquinn/film/the-general-line/,4.5,,,2017-10-18
2017-10-21,Zvenigora,1928,https://letterboxd.com/danielquinn/film/zvenigora/,3,,,2017-10-20
2017-10-23,Rain,1929,https://letterboxd.com/danielquinn/film/rain-1929/,3.5,,,2017-10-22
2017-10-23,Steamboat Round the Bend,1935,https://letterboxd.com/danielquinn/film/steamboat-round-the-bend/,4,,,2017-10-22
2017-10-24,Moscow,1927,https://letterboxd.com/danielquinn/film/moscow-1927/,4,,,2017-10-23
2017-10-27,Song of Heroes,1933,https://letterboxd.com/danielquinn/film/song-of-heroes/,3,,,2017-10-26
2017-10-28,Enthusiasm,1931,https://letterboxd.com/danielquinn/film/enthusiasm-1931/,4,,,2017-10-27
2017-10-28,Mary of Scotland,1936,https://letterboxd.com/danielquinn/film/mary-of-scotland/,3.5,,,2017-10-27
2017-10-29,Secret Ceremony,1968,https://letterboxd.com/danielquinn/film/secret-ceremony/,1.5,,,2017-10-28
2017-10-30,Three Songs About Lenin,1934,https://letterboxd.com/danielquinn/film/three-songs-about-lenin/,4,,,2017-10-29
2017-10-31,El batallón de las sombras,1957,https://letterboxd.com/danielquinn/film/el-batallon-de-las-sombras/,3.5,,,2017-10-30
2017-11-02,[REC],2007,https://letterboxd.com/danielquinn/film/rec/,2.5,,,2017-11-01
2017-11-03,The Komsomol - Sponsor of Electrification,1932,https://letterboxd.com/danielquinn/film/the-komsomol-sponsor-of-electrification/,3,,,2017-11-02
2017-11-05,Untitled,1971,https://letterboxd.com/danielquinn/film/untitled-1971/,4,,,2017-11-04
2017-11-05,Moffitt Building Piece,1973,https://letterboxd.com/danielquinn/film/moffitt-building-piece/,4,,,2017-11-04
2017-11-05,Creek,1974,https://letterboxd.com/danielquinn/film/creek/,4,,,2017-11-04
2017-11-05,Energy Charge,1975,https://letterboxd.com/danielquinn/film/energy-charge/,4,,,2017-11-04
2017-11-05,Silueta Sangrienta,1975,https://letterboxd.com/danielquinn/film/silueta-sangrienta/,4,,,2017-11-04
2017-11-05,"Alma, Silueta en Fuego",1975,https://letterboxd.com/danielquinn/film/alma-silueta-en-fuego/,4,,,2017-11-04
2017-11-05,Butterfly,1975,https://letterboxd.com/danielquinn/film/butterfly-1975/,4,,,2017-11-04
2017-11-05,X-ray,1975,https://letterboxd.com/danielquinn/film/x-ray-1975/,3.5,,,2017-11-04
2017-11-05,"Anima, Silueta de Cohetes (Firework Piece)",1976,https://letterboxd.com/danielquinn/film/anima-silueta-de-cohetes-firework-piece/,4,,,2017-11-04
2017-11-05,Volcán,1979,https://letterboxd.com/danielquinn/film/volcan/,4.5,,,2017-11-04
2017-11-05,Birth (Gunpowder Works),1981,https://letterboxd.com/danielquinn/film/birth-gunpowder-works/,4.5,,,2017-11-04
2017-11-06,Blade Runner 2049,2017,https://letterboxd.com/danielquinn/film/blade-runner-2049/,1.5,,,2017-11-05
2017-11-08,La Flor,2018,https://letterboxd.com/danielquinn/film/la-flor/,4,,,2017-11-07
2017-11-10,Blind Date,1959,https://letterboxd.com/danielquinn/film/blind-date/,3.5,,,2017-11-09
2017-11-10,Running on Empty,1988,https://letterboxd.com/danielquinn/film/running-on-empty-1988/,3.5,,,2017-11-09
2017-11-11,10 Rillington Place,1971,https://letterboxd.com/danielquinn/film/10-rillington-place/,3,,,2017-11-10
2017-11-11,Daguerrotype,2016,https://letterboxd.com/danielquinn/film/daguerrotype/,3.5,,,2017-11-10
2017-11-11,Escape from Fort Bravo,1953,https://letterboxd.com/danielquinn/film/escape-from-fort-bravo/,3,,,2017-11-10
2017-11-13,The Big Steal,1949,https://letterboxd.com/danielquinn/film/the-big-steal/,3.5,,,2017-11-12
2017-11-19,Verboten!,1959,https://letterboxd.com/danielquinn/film/verboten/,3.5,,,2017-11-18
2017-11-20,White Dog,1982,https://letterboxd.com/danielquinn/film/white-dog/,3,,,2017-11-19
2017-11-23,White Zombie,1932,https://letterboxd.com/danielquinn/film/white-zombie/,3.5,,,2017-11-22
2017-11-26,The Canterbury Tales,1972,https://letterboxd.com/danielquinn/film/the-canterbury-tales/,3,,,2017-11-25
2017-11-27,The Trout,1982,https://letterboxd.com/danielquinn/film/the-trout-1982/,3.5,,,2017-11-26
2017-12-01,Rise and Fall of a Small Film Company,1986,https://letterboxd.com/danielquinn/film/grandeur-and-decadence-of-a-small-time-filmmaker/,4,,,2017-11-30
2017-12-04,Dawn of the Dead,1978,https://letterboxd.com/danielquinn/film/dawn-of-the-dead/,3.5,,,2017-12-03
2017-12-07,Wings,1927,https://letterboxd.com/danielquinn/film/wings/,3.5,,,2017-12-06
2017-12-07,Today We Live,1933,https://letterboxd.com/danielquinn/film/today-we-live/,3,,,2017-12-06
2017-12-08,The Milky Way,1969,https://letterboxd.com/danielquinn/film/the-milky-way-1969/,3,,,2017-12-07
2017-12-08,The Deadly Affair,1966,https://letterboxd.com/danielquinn/film/the-deadly-affair/,3,,,2017-12-07
2017-12-08,Smashing Up,1968,https://letterboxd.com/danielquinn/film/smashing-up/,4,,,2017-12-07
2017-12-09,Me enveneno de azules,1971,https://letterboxd.com/danielquinn/film/me-enveneno-de-azules/,4,,,2017-12-08
2017-12-09,Mr. Lucky,1943,https://letterboxd.com/danielquinn/film/mr-lucky/,3,,,2017-12-08
2017-12-10,Chained,1934,https://letterboxd.com/danielquinn/film/chained/,3.5,,,2017-12-09
2017-12-10,Suburbicon,2017,https://letterboxd.com/danielquinn/film/suburbicon/,2.5,,,2017-12-09
2017-12-10,A Tree Grows in Brooklyn,1945,https://letterboxd.com/danielquinn/film/a-tree-grows-in-brooklyn/,4,,,2017-12-09
2017-12-11,Nocturne 29,1968,https://letterboxd.com/danielquinn/film/nocturne-29/,3.5,,,2017-12-10
2017-12-14,On the Beach at Night Alone,2017,https://letterboxd.com/danielquinn/film/on-the-beach-at-night-alone/,4.5,,,2017-12-13
2017-12-16,Our Father,1985,https://letterboxd.com/danielquinn/film/our-father-1985/,3,,,2017-12-15
2017-12-17,Daguerréotypes,1976,https://letterboxd.com/danielquinn/film/daguerreotypes/,3.5,,,2017-12-16
2017-12-18,Most Dangerous Man Alive,1961,https://letterboxd.com/danielquinn/film/most-dangerous-man-alive/,3.5,,,2017-12-17
2017-12-24,The Lady of Musashino,1951,https://letterboxd.com/danielquinn/film/the-lady-of-musashino/,4,,,2017-12-23
2017-12-24,Strange Illusion,1945,https://letterboxd.com/danielquinn/film/strange-illusion/,3.5,,,2017-12-23
2017-12-25,After the Thin Man,1936,https://letterboxd.com/danielquinn/film/after-the-thin-man/,3,,,2017-12-24
2017-12-25,Chance at Heaven,1933,https://letterboxd.com/danielquinn/film/chance-at-heaven/,3.5,,,2017-12-25
2017-12-26,Les Girls,1957,https://letterboxd.com/danielquinn/film/les-girls/,4,,,2017-12-25
2017-12-27,Wonder Wheel,2017,https://letterboxd.com/danielquinn/film/wonder-wheel/,3,,,2017-12-26
2017-12-27,A Ghost Story,2017,https://letterboxd.com/danielquinn/film/a-ghost-story-2017/,3,,,2017-12-26
2017-12-28,Merlusse,1935,https://letterboxd.com/danielquinn/film/merlusse/,4,,,2017-12-27
2017-12-28,Veronica,2017,https://letterboxd.com/danielquinn/film/veronica-2017-1/,3,,,2017-12-27
2017-12-29,An Inn at Osaka,1954,https://letterboxd.com/danielquinn/film/an-inn-at-osaka/,3.5,,,2017-12-28
2017-12-30,Buchanan Rides Alone,1958,https://letterboxd.com/danielquinn/film/buchanan-rides-alone/,3.5,,,2017-12-29
2017-12-30,My Dinner with Andre,1981,https://letterboxd.com/danielquinn/film/my-dinner-with-andre/,2.5,,,2017-12-29
2017-12-30,Kings Go Forth,1958,https://letterboxd.com/danielquinn/film/kings-go-forth/,3.5,,,2017-12-29
